"","Trophozoites","Cyst_8h","Cyst_24h","Cyst_48h","Cyst_72h","Excyst_2h","Excyst_8h"
"EIN_143900",7.23064494782872,8.60788508977678,9.09953191652769,8.77679489459504,10.0089887832273,7.82521321776001,3.39369076418745
"EIN_403770",10.9620356250388,10.8517568481863,12.0590503482122,12.9050108623903,12.5711529757825,10.7531248016056,6.76035403027647
"EIN_145900",3.88655014732434,3.48026512205446,6.98652470797722,6.98185265328974,7.54573675349338,6.07146236255662,2.92599941855622
"EIN_380970",11.2301345494513,11.3086746338756,10.3198640159753,8.80783788642329,10.2805156085731,9.71693946662138,8.98805976225316
"EIN_230150",0.37851162325373,1.91073266190291,10.9824374882222,10.2187206345324,10.41228403151,8.78848996265988,5.18308946064076
"EIN_369450",6.9842475469948,4.86542397831313,5.74685018309805,3.89917563048051,5.24222139509837,5.51853513898218,1.52105073690096
"EIN_485530",9.46164314807391,9.81517512279813,10.9969959561972,11.1523862584284,10.597307691141,8.17307745010923,6.89141918684608
"EIN_284940",3.48413813120167,5.04701481951759,4.36387192485753,0.7311832415722,3.74738739965272,5.27426166125705,10.1862009224764
"EIN_031580",5.72164607841839,4.8094144442359,8.55451211053871,7.93292337383563,7.76897825034455,5.37086174008529,1.790772037862
"EIN_186530",4.32481060342048,3.37573453858316,5.12101540096137,0,1.31034012061215,3.12101540096137,1.83995958748953
"EIN_224250",8.41472751196554,8.13473433610102,10.7163307652756,11.2868407284796,10.1350294562904,9.70317685337128,6.97956810009519
"EIN_129260",4.14974711950468,5.03254169727004,5.32696871158789,4.97085365434048,1.03562390973072,5.04220656012069,3.30597052098439
"EIN_080720",3.05484847699562,4.73335434061383,2.57773093149008,1.57046293102604,0,3.87872534148011,2.78868571061353
"EIN_093540",0,0,0,0,0,0.27500704749987,0.855989697308481
"EIN_155450",4.30085587126876,4.66277517193778,6.78594281939225,5.31251996747495,6.86083867904349,6.63037634701521,4.75114232472695
"EIN_284560",4.10265813136374,5.81018600769536,9.55414753437248,10.8431359111114,10.9864607119233,8.77705801007114,3.2585189247113
"EIN_175860",0.411426245726465,0.137503523749935,1.8073549220576,6.39145842004967,3.17791779219584,3.54843662469604,3.53977919169849
"EIN_359870",1.04264433740849,0.641546029087524,4.26153081524341,0,0,2.06695024392463,3.74631276642546
"EIN_065940",5.93640237772506,5.57106999816771,9.41345868800798,10.3972146939121,11.8597288926784,17.0272664059767,17.4982860891448
"EIN_054480",8.49161262711653,7.68636045290369,8.36216301164173,9.6450098843911,11.513130461106,12.2556364515106,8.53001610311214
"EIN_032050",1.0071955014042,1.1243281350022,1.15055967657538,0,1.8073549220576,2.07382023329167,0.815575428862572
"EIN_379990",3.6507645591169,5.23725777090037,3.23266075679027,3.13586316536868,1.23878685958712,3.31179371775365,2.48026512205446
"EIN_337640",0,0.150559676575381,0.895302621333307,0,0.0703893278913977,0.879705766282288,0.75702324650746
