Gene ID,Trophs,cyst 8h,cyst 24h,cyst 48h,cyst 72h,excyst 2h,excyst 8h
EIN_386100,69.73,35.09,61.2,2,5.59,9.62,3.01
EIN_391480,40.37,30.45,113.92,90.07,80.94,22.85,3.25
EIN_391640,37.35,26.19,54.7,54.75,55.19,84.32,16.08
EIN_398110,19.09,70.01,126.94,165.33,71.07,12.74,4.97
EIN_398130,46.24,24.46,6.79,2,3.81,14.23,24.95
EIN_403300,72.7,27.62,8.65,37.69,2.16,8.07,2.5
EIN_403630,14.82,121.21,47.67,2.07,7.46,107.34,189.49
EIN_403770,1995.81,1849.01,4268.13,7671,6086.47,1726.89,109.41
EIN_409300,1000.41,1023.35,231.95,144.55,192.55,838.44,609.6
EIN_409670,2.04,2.58,69.09,2.64,12.56,34.79,5.55
EIN_411070,258.52,168.9,131.28,67.64,4.07,131.17,26.96
EIN_416970,846.11,772.13,176.23,21.4,29.89,1330.8,2133.33
EIN_419420,17,5.07,7.24,63.55,13.03,12.37,2
EIN_424210,31.57,1569.03,4824.78,1068.51,55.9,8.08,3.09
EIN_428080,9.58,13.97,13.43,8.1,25.88,184.78,23.55
EIN_428970,730.41,654.45,432.73,387.33,755.02,2674.53,2656.26
EIN_430130,10.15,39.22,73.4,3.1,2,2.2,2
EIN_453940,3.8,2.12,3.71,2,2,2.8,5.63
EIN_461630,10.12,2.28,94.95,29.7,145.47,13.23,3.75
EIN_462870,21.4,8.78,384.02,174.46,8.96,18.78,6.71
EIN_468220,5323.27,6464.54,3306.51,1328.69,644.44,493.78,41.41
EIN_468500,202.68,6.42,5.16,24.12,3.72,181.01,380.27
EIN_475930,66.33,49.9,31.44,66.92,77.24,32.84,11.64
EIN_476210,177.51,242.26,142.15,16.15,73.02,32.57,59.7
EIN_485530,706.08,901.87,2044.74,2277.16,1550.2,289.63,119.72
EIN_485740,32.69,38.68,43.14,2,25.35,25.84,2.62
EIN_486020,3.22,45.62,332.49,425.71,2.53,2.59,3.3
EIN_487250,28.79,56.57,114.4,5.69,2.96,23.72,5.65
EIN_496850,46.31,49.85,44.71,11.49,30.76,33.83,48.16
EIN_496860,7.37,18.71,46.51,6.07,2.91,3.35,2.98
EIN_498400,4632.99,4205.51,2688.66,1272.06,1323.75,493.91,75.84
EIN_498890,4482.57,2505.64,1573.29,426.75,125.98,3252.87,5438.86
